,timestamp,precision,recall,f1_score,average_precision,auc
0,timestamp,precision,recall,f1_score,average_precision,auc
1,timestamp,precision,recall,f1_score,average_precision,auc
2,timestamp,precision,recall,f1_score,average_precision,auc
3,timestamp,precision,recall,f1_score,average_precision,auc
4,timestamp,precision,recall,f1_score,average_precision,auc
5,timestamp,precision,recall,f1_score,average_precision,auc
6,timestamp,precision,recall,f1_score,average_precision,auc
7,timestamp,precision,recall,f1_score,average_precision,auc
8,timestamp,precision,recall,f1_score,average_precision,auc
9,2020-08-05 15:52:39,0.5813953488372093,1.0,0.7352941176470588,0.9886999249865313,0.9989611111111112
10,2020-08-05 16:19:06,0.6024096385542169,1.0,0.7518796992481204,0.9743757491484155,0.9980444444444445
11,2020-08-05 16:25:09,0.5882352941176471,1.0,0.7407407407407407,0.9747534505733044,0.9982333333333333
12,2020-08-05 16:51:29,0.5988023952095808,1.0,0.7490636704119851,0.9809921960990191,0.9983833333333333
13,2020-08-05 17:17:24,0.591715976331361,1.0,0.7434944237918216,0.9897359653867501,0.9990111111111111
14,2020-08-05 17:43:27,0.5882352941176471,1.0,0.7407407407407407,0.9890657870912596,0.99895
15,2020-08-05 18:09:31,0.5813953488372093,1.0,0.7352941176470588,0.9933601666950491,0.9993
16,2020-08-05 18:35:45,0.5780346820809249,1.0,0.7326007326007327,0.992927299773679,0.999238888888889
17,2020-08-05 19:02:02,0.591715976331361,1.0,0.7434944237918216,0.9816307227653065,0.9984111111111111
18,2020-08-05 19:27:57,0.5813953488372093,1.0,0.7352941176470588,0.988745351032859,0.9989277777777777
