,experiment,mean_f1_score,sd_f1_score,mean_auc,sd_auc
0,kpca_scenario1,0.6923076923076922,0.0,0.64625,0.0
1,kpca_scenario2,0.6830985915492959,0.0,0.5825,0.0
2,kpca_scenario3,0.6857142857142858,0.0,0.802,0.0
3,kpca_scenario4,0.4513618677042801,0.0,0.668625,0.0
4,kpca_scenario5,0.4848484848484849,0.0,0.6793750000000001,0.0
5,kpca_scenario6,0.4015748031496063,0.0,0.91675,0.0
6,kpca_cars,0.08866995073891627,0.0,0.5817,0.0
7,ae_scenario1,0.7407896784267138,0.006031135784870273,0.9987461111111111,0.0004171038447245413
8,ae_scenario2,0.7477079157399963,0.005756688321765887,0.9976750000000001,0.0005170801809974164
9,ae_scenario3,0.7300261160358914,0.008503273474411011,0.9976227777777776,0.0007443716796942678
10,ae_scenario4,0.6515764792389372,0.07270933186959455,0.9685705555555556,0.040010417705892504
11,ae_scenario5,0.685773837636219,0.01175385462707103,0.9916966666666667,0.0032191596557003418
12,ae_scenario6,0.6191871303884511,0.014626610405065722,0.8910838888888888,0.022786116556272763
13,ae_cars,0.11557266589724668,0.010741371217704389,0.42936419753086413,0.002797350930763392
14,vae_svm_scenario1,0.6100537997594195,0.07708961593936996,0,0
15,vae_svm_scenario2,0.6260012844844564,0.12260180440636789,0,0
16,vae_svm_scenario3,0.6335114724877318,0.06305014507053751,0,0
17,vae_svm_scenario4,0.3481419706362029,0.12201383556399757,0,0
18,vae_svm_scenario5,0.37583161015464217,0.1298232964138268,0,0
19,vae_svm_scenario6,0.3395670740210199,0.08935827605095722,0,0
20,da_vae_scenario6,0.5764572993603067,0.04067141893759323,0.9308626262626263,0.019213572540217223
21,da_vae_scenario1,0.7260817635594358,0.01842254243768364,0.9940561111111113,0.003250254928273367
22,da_vae_scenario2,0.7240322557559752,0.014358028687665244,0.9934705555555554,0.002047675662131098
23,da_vae_scenario3,0.7316849590684471,0.015904375174360927,0.9911366666666666,0.0020577513797202735
24,da_vae_scenario4,0.5369933531339333,0.06372673397281502,0.9140594444444444,0.028456310030563658
25,da_vae_scenario5,0.5909549958272666,0.041892919596338556,0.9406433333333333,0.020472643113418034
26,da_vae_cars,0.5347715444181989,0.05949919904495079,0.8871372222222222,0.04313706879254021
